scope,variant,year,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s
complete_history_major,interest_level_momentum,2022,180,713.9176200688345,20.728440956769287,15.76026895889898,62.22222222222222,72.77777777777777,6.666666666666667,-148.2542476482916
complete_history_major,interest_level_momentum,2023,202,787.0387754366104,22.97941606171717,18.89807067726301,52.97029702970298,71.78217821782178,8.415841584158416,-342.2409443596858
complete_history_major,interest_level_momentum,2024,216,660.0747729217487,23.390350570823195,18.503080830995835,53.24074074074075,69.9074074074074,9.25925925925926,-59.66120483211541
complete_history_major,interest_level_momentum,2025,203,792.0992791385167,23.46643553221149,19.7796455776649,50.24630541871922,71.92118226600985,8.374384236453201,-357.44885755614536
complete_history_major,interest_momentum,2021,186,832.3735039200077,28.926941374325057,22.910150205892585,46.236559139784944,67.74193548387096,16.666666666666664,44.55605418290222
complete_history_major,interest_momentum,2022,180,719.0061683338795,21.025319749852414,17.016670342022927,56.666666666666664,75.55555555555556,7.222222222222221,-163.46825955764825
complete_history_major,interest_momentum,2023,202,810.7354415951482,23.08015982078807,19.492291169711017,52.97029702970298,71.28712871287128,8.415841584158416,-373.2541669331899
complete_history_major,interest_momentum,2024,216,670.9977375685055,23.936743326920904,17.947632819940562,54.166666666666664,68.05555555555556,11.574074074074074,-58.10314728328617
complete_history_major,interest_momentum,2025,203,814.6773335628385,23.767978352388006,19.797486541496735,50.73891625615764,70.93596059113301,9.852216748768473,-395.3761234941224
complete_history_major,past_selected,2021,186,752.3620537781727,24.88355639395994,22.860224509814255,47.31182795698925,72.04301075268818,11.29032258064516,-254.85131474735698
complete_history_major,past_selected,2022,180,717.7990006606741,20.59217506274137,15.470704002292846,61.111111111111114,74.44444444444444,6.666666666666667,-189.13043320350653
complete_history_major,past_selected,2023,202,787.9593136029359,22.968036129490006,19.848644383940016,51.98019801980198,73.26732673267327,7.920792079207921,-350.59727377257235
complete_history_major,past_selected,2024,216,667.3858946864186,23.6279788412233,18.771831953821632,52.31481481481482,70.37037037037037,10.648148148148149,-64.98525443414532
complete_history_major,past_selected,2025,203,787.0835014487036,23.195788015638332,19.23311653853274,52.70935960591133,72.41379310344827,7.8817733990147785,-354.86506609512884
